2022-01-09 13:17:19.122 [main] INFO  com.monster.austin.AustinApplication - Starting AustinApplication using Java 1.8.0_181 on MonsterdeMacBook-Pro.local with PID 31642 (/Users/monster/Code/austin-learn/austin-web/target/classes started by monster in /Users/monster/Code/austin-learn)
2022-01-09 13:17:19.124 [main] INFO  com.monster.austin.AustinApplication - No active profile set, falling back to default profiles: default
2022-01-09 13:17:19.866 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2022-01-09 13:17:19.874 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2022-01-09 13:17:19.874 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-01-09 13:17:19.874 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.54]
2022-01-09 13:17:19.930 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-01-09 13:17:19.930 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 756 ms
2022-01-09 13:17:20.197 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2022-01-09 13:17:20.222 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2022-01-09 13:17:20.232 [main] INFO  com.monster.austin.AustinApplication - Started AustinApplication in 1.482 seconds (JVM running for 2.224)
2022-01-09 13:17:50.853 [main] INFO  com.monster.austin.AustinApplication - Starting AustinApplication using Java 1.8.0_181 on MonsterdeMacBook-Pro.local with PID 31671 (/Users/monster/Code/austin-learn/austin-web/target/classes started by monster in /Users/monster/Code/austin-learn)
2022-01-09 13:17:50.855 [main] INFO  com.monster.austin.AustinApplication - No active profile set, falling back to default profiles: default
2022-01-09 13:17:51.503 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2022-01-09 13:17:51.510 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2022-01-09 13:17:51.510 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-01-09 13:17:51.510 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.54]
2022-01-09 13:17:51.559 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-01-09 13:17:51.560 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 662 ms
2022-01-09 13:17:51.788 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2022-01-09 13:17:51.809 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2022-01-09 13:17:51.818 [main] INFO  com.monster.austin.AustinApplication - Started AustinApplication in 1.224 seconds (JVM running for 1.72)
2022-01-09 13:18:06.146 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-01-09 13:18:06.146 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-01-09 13:18:06.147 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2022-01-09 13:18:06.175 [http-nio-8080-exec-1] INFO  com.monster.austin.AustinApplication - info logback for austin
